animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
399861,AAADG2025033104,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,M,SMALL,黃虎斑色,CHILD,T,F,台北市大同區迪化街,,OPEN,可以摸摸.退養原因:適應不良.與家貓不合(見面會哈氣).已認養待資料回收下架,,2025-04-02,2999-12-31,2025/05/14,2025/03/31,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1743393118598.png,,2025/05/14,新北市板橋區板城路28-1號,02-89662158
405018,AAADG2025050907,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,M,SMALL,虎斑色,ADULT,T,F,南雅夜市附近公園,,OPEN,會撒嬌討摸摸.很乖,,2025-05-09,2999-12-31,2025/05/14,2025/05/09,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1746780072275.png,,2025/05/14,新北市板橋區板城路28-1號,02-89662158
405020,AAADG2025050909,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,M,SMALL,黑色,CHILD,F,F,親民公園(浮洲),,OPEN,活潑好動,,2025-05-09,2999-12-31,2025/05/14,2025/05/09,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1746780266005.png,,2025/05/14,新北市板橋區板城路28-1號,02-89662158
405021,AAADG2025050910,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,M,SMALL,黑色,CHILD,F,F,親民公園(浮洲),,OPEN,活潑好動,,2025-05-09,2999-12-31,2025/05/14,2025/05/09,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1746780331257.png,,2025/05/14,新北市板橋區板城路28-1號,02-89662158
405509,AAADG2025051401,3,50,新北市板橋區公立動物之家,貓,俄羅斯藍貓               ,M,SMALL,灰色,ADULT,T,F,大智街42巷,,OPEN,緊張害怕.放慢動作可摸,,2025-05-15,2999-12-31,2025/05/14,2025/05/14,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1747193308704.png,,2025/05/14,新北市板橋區板城路28-1號,02-89662158
120774,108092304,2,49,臺北市動物之家,狗,混種犬          ,F,MEDIUM,黑色,ADULT,T,F,民權西路,,OPEN,保母攜出照顧中 目前尚未在所內,,2021-04-10,2999-12-31,2025/05/14,2019/09/24,臺北市動物之家,https://www.pet.gov.tw/upload/pic/51252_108092304_0.JPG,,2025/05/14,臺北市內湖區安美街191號,02-87913254
405508,LAAAG1140514W2,17,75,高雄市壽山動物保護教育園區,狗,貴賓犬        ,M,MEDIUM,黑色,ADULT,F,F,大昌二路,,OPEN,結育後開放認養後開放認養,,,2999-12-31,2025/05/14,2025/05/14,高雄市壽山動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747192990019.png,,2025/05/14,高雄市鼓山區萬壽路350號,07-5519059
405506,EAAAG1140514009,9,96,苗栗縣動物保護教育園區,狗,混種犬          ,F,BIG,黑色,ADULT,T,F,苗栗市南勢里,,OPEN,,,,2999-12-31,2025/05/14,2025/05/12,苗栗縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747191365542.png,,2025/05/14,苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號(地圖：https:／／goo.gl/maps/Bd4sckpEPsrof7Qb8),037-558228
405453,DAAAG1140513002,7,63,新竹縣動物保護教育園區,狗,混種犬          ,M,MEDIUM,黑色,ADULT,F,F,,,OPEN,受困協助脫困無外傷，入所時過瘦,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747191693281.png,,2025/05/14,新竹縣竹北市縣政五街192號,03-5519548
405504,TAAAG1140513003,15,71,嘉義市動物保護教育園區,其他,玄鳳鸚鵡,F,MEDIUM,咖啡白色,ADULT,N,F,中樺幼兒園,,OPEN,,,,2999-12-31,2025/05/14,2025/05/13,嘉義市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747190887396.png,,2025/05/14,嘉義市彌陀路31號,05-2168661
247251,111031805,2,49,臺北市動物之家,狗,混種犬          ,F,MEDIUM,黑白色,ADULT,T,F,洲美里	河雙,,OPEN,右剪耳，111326開放認養,,2022-03-26,2999-12-31,2025/05/14,2022/03/18,臺北市動物之家,https://www.pet.gov.tw/upload/pic/88399e4b-ff8d-4dc9-9b85-22eeeb9e056e.jpg,,2025/05/14,臺北市內湖區安美街191號,02-87913254
405501,1140779,5,78,宜蘭縣流浪動物中途之家,貓,混種貓                 ,N,SMALL,三花色,CHILD,N,F,大圳路,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1747189844170.png,,2025/05/14,宜蘭縣五結鄉成興村利寶路60號,039602350分機620
402735,QAAAG1140424001,4,48,基隆市寵物銀行,狗,混種犬          ,F,MEDIUM,黑色,ADULT,T,F,新山水庫,,OPEN,代養中,,,2999-12-31,2025/05/14,2025/04/24,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1745465461958.png,,2025/05/14,基隆市七堵區大華三路45-12號(欣欣安樂園旁),02-24560148
405500,1140778,5,78,宜蘭縣流浪動物中途之家,貓,混種貓                 ,N,SMALL,黃色,CHILD,N,F,大圳路,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1747189802783.png,,2025/05/14,宜蘭縣五結鄉成興村利寶路60號,039602350分機620
405495,1140776,5,78,宜蘭縣流浪動物中途之家,貓,混種貓                 ,N,BIG,虎斑白色,ADULT,N,F,德興一路,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1747188554832.png,,2025/05/14,宜蘭縣五結鄉成興村利寶路60號,039602350分機620
405494,1140775,5,78,宜蘭縣流浪動物中途之家,貓,混種貓                 ,N,MEDIUM,虎斑白色,CHILD,N,F,東港路二段,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1747188504643.png,,2025/05/14,宜蘭縣五結鄉成興村利寶路60號,039602350分機620
405421,1140774,5,78,宜蘭縣流浪動物中途之家,狗,混種犬          ,M,BIG,黑色,ADULT,N,F,三奇路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1747188478441.png,,2025/05/14,宜蘭縣五結鄉成興村利寶路60號,039602350分機620
405420,1140773,5,78,宜蘭縣流浪動物中途之家,狗,混種犬          ,F,BIG,黑色,ADULT,N,F,崙埤,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1747188415498.png,,2025/05/14,宜蘭縣五結鄉成興村利寶路60號,039602350分機620
405419,1140772,5,78,宜蘭縣流浪動物中途之家,狗,混種犬          ,M,BIG,黑色,ADULT,N,F,永金二路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1747188352140.png,,2025/05/14,宜蘭縣五結鄉成興村利寶路60號,039602350分機620
224679,110092802,2,49,臺北市動物之家,狗,混種犬          ,M,MEDIUM,黃白色,ADULT,T,F,台北市動物之家,,OPEN,沒得蚤,,2021-09-28,2999-12-31,2025/05/14,2021/09/28,臺北市動物之家,https://www.pet.gov.tw/upload/pic/db8c89d1-6d40-44d8-ac70-48d93db03ccd.jpg,,2025/05/14,臺北市內湖區安美街191號,02-87913254
405330,LAAAG1140512W8,17,75,高雄市壽山動物保護教育園區,狗,柴犬                  ,M,MEDIUM,黑色,ADULT,N,F,鳳仁路,,OPEN,協尋飼主 暫不開放認養,,,2999-12-31,2025/05/14,2025/05/12,高雄市壽山動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747102608745.png,,2025/05/14,高雄市鼓山區萬壽路350號,07-5519059
346555,VAAAG113021804,2,49,臺北市動物之家,狗,混種犬          ,F,MEDIUM,棕黑色,ADULT,F,F,不擬續養,,OPEN,左前後肢開放性骨折,,2024-02-18,2999-12-31,2025/05/14,2024/02/18,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1708245853174.png,,2025/05/14,臺北市內湖區安美街191號,02-87913254
405422,CAAAG1140513005,6,61,桃園市動物保護教育園區,貓,異國短毛貓(加菲貓),F,MEDIUM,黃色,ADULT,F,F,,,OPEN,,,,2999-12-31,2025/05/14,2025/05/13,桃園市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747122883475.png,,2025/05/14,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
396876,VAAAG114030908,2,49,臺北市動物之家,狗,柴犬                  ,M,MEDIUM,黃白色,ADULT,T,F,,,OPEN,,,2025-03-09,2999-12-31,2025/05/14,2025/03/09,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1741503059442.png,,2025/05/14,臺北市內湖區安美街191號,02-87913254
378207,VAAAG113101701,2,49,臺北市動物之家,貓,混種貓                 ,M,MEDIUM,黑白色,CHILD,T,F,興中路80巷,,OPEN,,,2024-12-01,2999-12-31,2025/05/14,2024/10/17,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1729138415877.png,,2025/05/14,臺北市內湖區安美街191號,02-87913254
404255,FAABG11405036004,10,68,臺中市動物之家后里園區,貓,混種貓                 ,M,SMALL,黃色,ADULT,T,F,中興路三段環山三巷35號,,OPEN,,,2025-05-15,2999-12-31,2025/05/14,2025/05/03,臺中市動物之家后里園區,https://www.pet.gov.tw/upload/pic/1747185656552.png,,2025/05/14,臺中市后里區堤防路370號,04-25588024
405474,HAAAG1140513704,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,虎斑色,CHILD,T,F,大長路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747185412123.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405473,HAAAG1140513847,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,米色,CHILD,T,F,大長路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747185270063.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405472,HAAAG1140513819,12,70,南投縣公立動物收容所,狗,混種犬          ,M,SMALL,米色,CHILD,T,F,大長路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747185146909.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405471,HAAAG1140513735,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,米色,CHILD,T,F,大長路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747185042773.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405470,HAAAG1140513894,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,T,F,長北路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747184962901.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405469,HAAAG1140513733,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,T,F,長北路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747184845526.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405354,DAAAG1140512013,7,63,新竹縣動物保護教育園區,貓,混種貓                 ,M,SMALL,黃白色,CHILD,F,F,,,OPEN,眼睛感染治療中；剛長牙幼貓仍在觀察是否能吃飼料,,2025-05-12,2999-12-31,2025/05/14,2025/05/12,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747110406416.png,,2025/05/14,新竹縣竹北市縣政五街192號,03-5519548
405353,DAAAG1140512012,7,63,新竹縣動物保護教育園區,貓,混種貓                 ,F,SMALL,黑白色,CHILD,F,F,,,OPEN,眼睛感染治療中；剛長牙幼貓仍在觀察是否能吃飼料,,2025-05-12,2999-12-31,2025/05/14,2025/05/12,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747110035329.png,,2025/05/14,新竹縣竹北市縣政五街192號,03-5519548
405291,VAAAG114051214,2,49,臺北市動物之家,貓,混種貓                 ,F,MEDIUM,虎斑白色,ADULT,T,F,寶興街,,OPEN,右剪耳，FRV,,2025-05-20,2999-12-31,2025/05/14,2025/05/12,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1747042881913.png,,2025/05/14,臺北市內湖區安美街191號,02-87913254
405290,VAAAG114051213,2,49,臺北市動物之家,貓,混種貓                 ,F,MEDIUM,虎斑白色,ADULT,T,F,濱江街,,OPEN,右剪耳,,2025-05-20,2999-12-31,2025/05/14,2025/05/12,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1747042868508.png,,2025/05/14,臺北市內湖區安美街191號,02-87913254
405458,JAAAG1140514005,14,72,嘉義縣動物保護教育園區,狗,混種犬          ,F,BIG,黑色,ADULT,T,F,,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,嘉義縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747180736656.png,,2025/05/14,嘉義縣民雄鄉松山村後山仔37之2號,05-2721119
405457,JAAAG1140514004,14,72,嘉義縣動物保護教育園區,狗,混種犬          ,M,BIG,黑色,ADULT,T,F,,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,嘉義縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747180296779.png,,2025/05/14,嘉義縣民雄鄉松山村後山仔37之2號,05-2721119
405455,JAAAG1140514002,14,72,嘉義縣動物保護教育園區,狗,混種犬          ,M,BIG,黑色,ADULT,T,F,,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,嘉義縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747180162568.png,,2025/05/14,嘉義縣民雄鄉松山村後山仔37之2號,05-2721119
405454,JAAAG1140514001,14,72,嘉義縣動物保護教育園區,狗,混種犬          ,F,BIG,黑色,ADULT,T,F,,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,嘉義縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747180096660.png,,2025/05/14,嘉義縣民雄鄉松山村後山仔37之2號,05-2721119
403833,DAAAG1140501002,7,63,新竹縣動物保護教育園區,狗,博美犬         ,M,SMALL,花色,ADULT,F,F,,,OPEN,目前找尋原飼主中，暫不開放其他民眾領養， 若原飼主於114.5.8前未領回，將於絕育後另行更新公告開放認養時間於此。,,,2999-12-31,2025/05/01,2025/05/01,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1746079730924.png,,2025/05/01,新竹縣竹北市縣政五街192號,03-5519548
405452,DAAAG1140513001,7,63,新竹縣動物保護教育園區,貓,混種貓                 ,M,SMALL,黃白色,CHILD,F,F,,,OPEN,眼睛感染治療中；剛長牙幼貓仍在觀察是否能吃飼料,,2025-05-13,2999-12-31,2025/05/13,2025/05/13,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747148405419.png,,2025/05/13,新竹縣竹北市縣政五街192號,03-5519548
402059,AAAHG1140418001,3,58,新北市五股區公立動物之家,狗,哈士奇(西伯利亞雪橇犬),M,BIG,灰白色,ADULT,N,F,中山路62號,,OPEN,,,,2999-12-31,2025/05/13,2025/04/18,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1744961768563.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
