Dog Breed,Category,Symptom,Breed (EN)
吉娃娃,毛髮皮膚,斑狀毛色,Chihuahua
吉娃娃,毛髮皮膚,犬型禿髮,Chihuahua
吉娃娃,眼睛,玻璃體退化,Chihuahua
吉娃娃,眼睛,持續性瞳孔膜,Chihuahua
吉娃娃,眼睛,白內障,Chihuahua
吉娃娃,眼睛,漸進性視網膜萎縮症,Chihuahua
吉娃娃,眼睛,角膜營養不良,Chihuahua
吉娃娃,骨骼及關節,髕骨異位,Chihuahua
吉娃娃,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死,Chihuahua
吉娃娃,骨骼及關節,肘關節增生不良,Chihuahua
吉娃娃,血液,肝門脈系統分流,Chihuahua
吉娃娃,心臟,慢性瓣膜性心臟病／心臟瓣膜病變,Chihuahua
吉娃娃,心臟,肺動脈狹窄症,Chihuahua
吉娃娃,呼吸系統,氣管塌陷,Chihuahua
吉娃娃,消化排泄系統,臍疝氣,Chihuahua
吉娃娃,泌尿系統,泌尿系統結石,Chihuahua
吉娃娃,內分泌系統,甲狀腺功能低下,Chihuahua
吉娃娃,腦及神經,水腦症,Chihuahua
吉娃娃,腦及神經,壞死性腦膜炎,Chihuahua
吉娃娃,畸形,唇顎裂,Chihuahua
吉娃娃,生殖系統,隱睪,Chihuahua
吉娃娃,嘴及口腔,咬合不足,Chihuahua
吉娃娃,嘴及口腔,咬合過度和歪嘴症,Chihuahua
吉娃娃,肌肉,後天重症肌無力,Chihuahua
約克夏,毛髮皮膚,過敏性皮炎,Yorkshire Terrier
約克夏,毛髮皮膚,皮癬,Yorkshire Terrier
約克夏,毛髮皮膚,皮膚漿液瘤,Yorkshire Terrier
約克夏,眼睛,永久性瞳孔殘膜,Yorkshire Terrier
約克夏,眼睛,乾眼症,Yorkshire Terrier
約克夏,眼睛,白內障,Yorkshire Terrier
約克夏,眼睛,漸進性視網膜萎縮症,Yorkshire Terrier
約克夏,眼睛,多生睫毛,Yorkshire Terrier
約克夏,眼睛,視網膜增生不良,Yorkshire Terrier
約克夏,眼睛,角膜營養不良,Yorkshire Terrier
約克夏,骨骼及關節,髕骨脫臼,Yorkshire Terrier
約克夏,骨骼及關節,髖關節增生不良,Yorkshire Terrier
約克夏,骨骼及關節,肘關節增生不良,Yorkshire Terrier
約克夏,血液,肝門脈系統分流,Yorkshire Terrier
約克夏,血液,低血糖症,Yorkshire Terrier
約克夏,心臟,瓣膜性心臟病,Yorkshire Terrier
約克夏,心臟,心室中膈缺陷,Yorkshire Terrier
約克夏,呼吸系統,氣管塌陷,Yorkshire Terrier
約克夏,消化排泄系統,蛋白質流失性腸病,Yorkshire Terrier
約克夏,泌尿系統,泌尿道結石,Yorkshire Terrier
約克夏,內分泌系統,糖尿病,Yorkshire Terrier
約克夏,內分泌系統,腎上腺皮質功能亢進症（庫興氏症候群）,Yorkshire Terrier
約克夏,內分泌系統,甲狀腺功能減退症,Yorkshire Terrier
約克夏,腦及神經,壞死性腦膜腦炎,Yorkshire Terrier
約克夏,生殖系統,隱睪,Yorkshire Terrier
馬爾濟斯,眼睛,永久性瞳孔殘膜,Maltese
馬爾濟斯,眼睛,多生睫毛,Maltese
馬爾濟斯,眼睛,白內障,Maltese
馬爾濟斯,眼睛,視網膜增生不良,Maltese
馬爾濟斯,骨骼及關節,髖關節增生不良,Maltese
馬爾濟斯,骨骼及關節,髕骨異位,Maltese
馬爾濟斯,骨骼及關節,肘關節增生不良,Maltese
馬爾濟斯,血液,肝門脈系統分流,Maltese
馬爾濟斯,心臟,開放性動脈導管,Maltese
馬爾濟斯,消化排泄系統,蛋白質流失性腸病,Maltese
